,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
1318,0.01,0.6,0.02,0.92,0.28,0.01,0.35,0.26,0.11,0.1,0.03,1.0,0.99,0.91,0.22,0.85,0.09,0.01,0.17,0.9,0.88,0.87,0.62,0.0,0.56,0.34,0.41,0.0,0.01,0.01,0.0,0.96,0.0,0.76,0.37,0.5,0.04,1.0,0.2,0.16,0.21,0.21,0.58,0.97,1.0,0.98,0.86,0.24,0.27,0.0,0.03,0.01,0.58,0.49,0.59,0.53,0.2,0.15,0.16,0.13,0.89,0.09,0.12,0.15,0.66,0.71,0.31,0.85,0.01,0.2,1.0,0.02,0.74,0.79,0.1,0.34,0.96,0.01,0.14,0.45,0.47,0.51,0.59,0.63,0.69,0.64,0.1,0.53,0.19,0.0,0.0,0.14,0.53,0.11,0.24,0.24,0.07,0.22,0.92,0.41000000000000003,0.06,0.06,0.54,0.38,0.45999999999999996,0.95,0.22,0.33,0.12000000000000001,0.26,0.039999999999999994,0.56,0.07999999999999999,0.05,0.08,0.0,0.37,0.06000000000000001,0.49,0.030000000000000027,0.0,0.2,0.03
1068,0.0,0.3,0.04,0.95,0.09,0.01,0.3,0.47,0.28,0.37,0.02,1.0,0.41,0.64,0.21,0.64,0.39,0.12,0.51,0.42,0.41,0.39,0.44,0.0,0.39,0.0,0.68,0.0,0.13,0.23,0.33,0.34,0.07,0.64,0.65,0.29,0.34,0.52,0.57,0.39,0.52,0.56,0.37,0.73,0.76,0.87,0.62,0.54,0.71,0.0,0.1,0.0,0.27,0.28,0.39,0.41,0.06,0.06,0.07,0.07,0.95,0.01,0.13,0.12,0.32,0.44,0.16,0.61,0.03,0.51,0.5,0.02,0.74,0.54,0.05,0.19,0.58,0.07,0.05,0.18,0.17,0.17,0.41,0.38,0.38,0.35,0.23,0.25,0.24,0.0,0.0,0.09,0.66,0.47,0.62,0.6,0.07,0.22,0.79,0.41000000000000003,0.26,0.38,0.14,0.38,0.9199999999999999,0.51,0.01999999999999999,0.07,0.34,0.49,0.08,0.56,0.54,0.02,0.1,0.04,0.16,0.06000000000000001,0.9099999999999999,0.44,0.0,0.36,0.07
488,0.02,0.33,0.18,0.86,0.02,0.01,0.43,0.5,0.35,0.5,0.0,0.0,0.13,0.39,0.26,0.29,0.59,0.52,0.41,0.15,0.18,0.18,0.18,0.11,0.43,0.0,0.55,0.04,0.53,0.83,0.76,0.16,0.51,0.31,1.0,0.24,0.88,0.19,0.7,0.34,0.74,0.76,0.35,0.42,0.41,0.37,0.39,0.47,0.41,0.01,0.25,0.0,0.13,0.42,0.45,0.38,0.0,0.01,0.02,0.01,0.97,0.01,0.12,0.12,0.33,0.34,0.36,0.48,0.1,0.57,0.0,0.03,0.78,0.48,0.04,0.37,0.56,0.75,0.21,0.06,0.05,0.06,0.06,0.1,0.1,0.11,0.31,0.35,0.35,0.01,0.0,0.01,0.81,0.56,0.76,0.82,0.07,0.06,0.92,0.25,0.06,0.38,0.54,0.06,0.45999999999999996,0.73,0.22,0.07,0.12000000000000001,0.49,0.08,0.76,0.54,0.04,0.11,0.0,0.04999999999999999,0.06000000000000001,0.9099999999999999,0.030000000000000027,0.0,0.04000000000000001,0.16
1043,0.01,0.49,0.11,0.87,0.15,0.02,0.34,0.33,0.21,0.53,0.02,0.89,0.71,0.65,0.28,0.81,0.51,0.09,0.56,0.75,0.88,0.85,0.51,0.13,1.0,0.09,1.0,0.0,0.06,0.17,0.19,0.74,0.13,0.52,0.28,0.63,0.15,0.79,0.25,0.32,0.29,0.29,0.48,0.8,0.83,0.84,0.73,0.17,0.38,0.0,0.1,0.0,0.05,0.05,0.13,0.13,0.02,0.01,0.03,0.03,0.88,0.04,0.18,0.19,0.51,0.55,0.27,0.82,0.03,0.21,0.5,0.01,0.88,0.77,0.32,0.4,0.35,0.02,0.15,0.39,0.49,0.64,0.48,0.54,0.63,0.57,0.65,0.34,0.46,0.0,0.0,0.12,0.4,0.66,0.67,0.67,0.07,0.22,0.79,0.41000000000000003,0.1,0.38,0.14,0.38,0.9199999999999999,0.95,0.22,0.07,0.11,0.26,0.039999999999999994,0.76,0.07999999999999999,0.04,0.09,0.16,0.16,0.06000000000000001,0.7,0.44,0.0,0.2,0.08
955,0.04,0.67,1.0,0.0,0.0,0.0,0.62,0.54,0.36,0.35,0.05,1.0,0.0,0.28,0.11,0.0,0.56,1.0,0.38,0.0,0.02,0.1,0.14,0.13,0.02,0.12,0.29,0.13,1.0,0.6,0.82,0.06,1.0,0.12,0.38,0.47,0.7,0.12,0.71,0.62,0.81,0.81,0.78,0.01,0.0,0.0,0.02,0.41,0.33,0.11,1.0,0.0,1.0,0.97,0.79,0.67,0.02,0.01,0.01,0.01,0.96,0.02,0.63,0.61,0.7,0.64,0.77,0.44,0.38,0.5,0.5,0.1,0.37,0.48,1.0,0.84,0.4,0.8,0.8,0.03,0.03,0.03,0.0,0.0,0.0,0.06,1.0,0.64,0.92,0.0,0.0,0.0,0.94,0.66,0.95,0.88,0.07,0.06,0.92,0.25,0.26,0.38,0.34,0.06,0.69,0.95,0.45999999999999996,0.33,0.34,0.26,0.2,0.36000000000000004,0.31,0.07,0.11,0.18,0.37,0.22000000000000003,0.9099999999999999,0.85,0.0,0.04000000000000001,1.0
592,0.04,0.66,0.04,0.93,0.17,0.01,0.53,0.33,0.22,0.14,0.05,1.0,0.94,0.84,0.73,0.84,0.17,0.02,0.31,0.85,0.79,0.77,0.77,0.7,0.45,0.41,0.61,0.0,0.01,0.01,0.01,0.88,0.07,0.68,0.26,0.45,0.04,0.81,0.11,0.24,0.21,0.17,0.63,0.95,0.97,0.94,0.87,0.24,0.23,0.0,0.03,0.01,0.28,0.23,0.4,0.47,0.08,0.06,0.09,0.09,0.92,0.03,0.14,0.18,0.72,0.73,0.41,0.93,0.01,0.04,1.0,0.02,0.87,0.91,0.07,0.29,0.81,0.01,0.06,0.37,0.36,0.37,0.54,0.5,0.67,0.54,0.3,0.4,0.1,0.0,0.0,0.11,0.34,0.51,0.54,0.25,0.21000000000000002,0.22,0.79,0.41000000000000003,0.1,0.22,0.14,0.22,0.69,0.95,0.22,0.13,0.12000000000000001,0.49,0.039999999999999994,0.36000000000000004,0.54,0.04,0.18,0.02,0.04999999999999999,0.22000000000000003,0.7,0.44,0.0,0.2,0.01
1593,0.0,0.47,0.0,0.97,0.11,0.01,0.3,0.3,0.23,0.77,0.02,1.0,0.5,0.43,0.08,0.86,0.83,0.06,1.0,0.48,0.41,0.39,0.26,0.14,0.82,0.0,0.66,0.0,0.04,0.25,0.37,0.26,0.24,0.34,0.44,0.34,0.35,0.41,0.07,0.32,0.05,0.06,0.42,0.93,0.91,0.98,0.85,0.31,0.35,0.0,0.02,0.01,0.05,0.04,0.09,0.11,0.03,0.03,0.06,0.06,0.7,0.15,0.19,0.22,0.53,0.49,0.49,1.0,0.01,0.0,0.5,0.0,1.0,1.0,0.16,0.59,0.54,0.01,0.21,0.26,0.24,0.21,0.37,0.37,0.54,0.38,0.27,0.2,0.29,0.0,0.0,0.32,0.81,0.99,0.95,0.93,0.21000000000000002,0.38,0.92,0.25,0.26,0.06,0.54,0.22,0.69,0.73,0.01999999999999999,0.13,0.12000000000000001,0.03,0.08,0.76,0.07999999999999999,0.01,0.21,0.14,0.04999999999999999,0.22000000000000003,0.49,0.030000000000000027,0.0,0.36,0.02
1586,0.06,0.37,0.0,0.92,0.24,0.04,0.35,0.45,0.26,0.55,0.08,1.0,0.26,0.48,0.19,0.6,0.58,0.35,0.49,0.3,0.26,0.26,0.12,0.07,0.07,0.25,0.28,0.04,0.24,0.39,0.42,0.2,0.31,0.54,0.89,0.3,0.8,0.27,0.42,0.37,0.36,0.4,0.44,0.7,0.74,0.75,0.67,0.64,0.74,0.02,0.15,0.02,0.69,0.62,0.66,0.63,0.24,0.19,0.18,0.16,0.85,0.14,0.2,0.18,0.38,0.45,0.3,0.57,0.09,0.5,0.5,0.05,0.85,0.54,0.08,0.58,0.17,0.17,0.37,0.1,0.08,0.07,0.19,0.21,0.22,0.21,0.3,0.28,0.44,0.01,0.0,0.14,0.86,0.62,0.83,0.82,0.21000000000000002,0.38,0.92,0.41000000000000003,0.06,0.22,0.34,0.06,0.69,0.73,0.22,0.33,0.12000000000000001,0.26,0.039999999999999994,0.76,0.07999999999999999,0.04,0.31,0.13,0.04999999999999999,0.22000000000000003,0.49,0.85,0.0,0.2,0.06
1669,0.1,1.0,0.05,0.32,0.75,1.0,0.62,0.69,0.47,0.14,0.11,1.0,0.35,0.75,0.18,0.15,0.24,0.67,0.26,0.28,0.13,0.11,0.29,0.15,0.25,0.25,0.27,0.1,0.41,0.94,0.88,0.14,0.55,0.47,0.7,0.16,0.88,0.14,0.34,0.64,0.47,0.42,1.0,0.6,0.51,0.6,0.61,0.37,0.26,0.09,0.58,0.2,0.4,0.49,0.54,0.6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47,1.0,0.67,0.0,0.03,0.89,0.52,0.43,0.18,0.52,0.33,0.42,0.38,0.37,0.35,0.56,0.57,0.63,0.56,0.75,0.7,0.15,0.0,0.01,1.0,0.42,0.46,0.82,0.7,0.07,0.22,0.92,0.09,0.06,0.22,0.54,0.38,0.45999999999999996,0.51,0.01999999999999999,0.07,0.12000000000000001,0.03,0.08,0.56,0.54,0.02,0.88,0.23,0.37,0.06000000000000001,0.9099999999999999,0.44,0.0,0.36,0.25
1172,0.01,0.09,0.02,0.89,0.23,0.13,0.07,0.71,0.27,0.15,0.03,1.0,0.71,0.82,0.18,0.61,0.07,0.07,0.15,0.75,0.98,0.98,0.73,0.42,0.52,0.66,0.92,0.01,0.13,0.02,0.04,0.91,0.04,0.98,0.51,0.34,0.09,0.92,0.76,0.97,0.63,0.71,0.14,0.55,0.62,0.84,0.32,0.65,0.7,0.0,0.17,0.01,0.4,0.44,0.43,0.43,0.23,0.22,0.2,0.18,0.84,0.06,0.05,0.02,0.11,0.21,0.12,0.28,0.1,0.81,0.0,0.03,0.8,0.26,0.03,0.22,0.44,0.03,0.22,1.0,1.0,1.0,0.89,0.9,1.0,0.86,0.32,0.75,0.18,0.0,0.0,0.24,0.37,0.25,0.46,0.34,0.21000000000000002,0.22,0.79,0.25,0.06,0.38,0.14,0.06,0.69,0.51,0.45999999999999996,0.07,0.12000000000000001,0.26,0.08,0.56,0.54,0.0,1.0,0.06,0.04999999999999999,0.06000000000000001,0.49,0.44,0.0,0.36,0.22
